Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate,Day of the Week,Hour
2023-03-26 16:34:00,DOTA2,Twitter,N/A ,858,14,Text,0.016317016317016316,Sunday,16
2023-03-26 16:27:00,General,Twitter,Community Engagement ,28257,937,Text,0.03315992497434264,Sunday,16
2023-03-26 15:55:00,DOTA2,Twitter,N/A ,140,2,Video,0.014285714285714285,Sunday,15
2023-03-26 15:52:00,DOTA2,Twitter,N/A ,661,14,Link,0.02118003025718608,Sunday,15
2023-03-26 15:40:00,General,Twitter,Community Engagement ,2124,40,Video,0.018832391713747645,Sunday,15
2023-03-26 15:39:00,General,Twitter,Community Engagement ,11554,232,Video,0.020079626103513933,Sunday,15
2023-03-26 15:38:00,DOTA2,Twitter,N/A ,779,21,Video,0.026957637997432605,Sunday,15
2023-03-26 15:26:00,General,Instagram,Community Engagement ,4312,0,Video,0.0,Sunday,15
2023-03-26 14:59:00,DOTA2,Twitter,N/A ,617,12,Link,0.019448946515397084,Sunday,14
2023-03-26 14:47:00,General,Twitter,Community Engagement ,5202,226,Photo,0.04344482891195694,Sunday,14
2023-03-26 14:45:00,General,Twitter,Community Engagement ,10227,93,Photo,0.009093575828688765,Sunday,14
2023-03-26 14:43:00,DOTA2,Twitter,N/A ,1171,30,Text,0.025619128949615714,Sunday,14
2023-03-26 14:39:00,General,Twitter,Community Engagement ,1839,58,Video,0.031538879825992384,Sunday,14
2023-03-26 14:39:00,DOTA2,Twitter,N/A ,355,9,Text,0.02535211267605634,Sunday,14
2023-03-26 14:38:00,General,Twitter,Community Engagement ,12912,211,Photo,0.016341387856257744,Sunday,14
2023-03-26 14:18:00,DOTA2,Twitter,N/A ,585,9,Video,0.015384615384615385,Sunday,14
2023-03-26 14:05:00,DOTA2,Twitter,N/A ,562,13,Photo,0.023131672597864767,Sunday,14
2023-03-26 14:02:00,DOTA2,Twitter,Community Engagement ,1040,29,Photo,0.027884615384615386,Sunday,14
2023-03-26 14:02:00,General,Facebook,Community Engagement ,16814,829,Photo,0.04930415130248603,Sunday,14
2023-03-26 14:01:00,General,Twitter,Community Engagement ,31115,221,Photo,0.0071026835931222885,Sunday,14
2023-03-26 14:01:00,General,Instagram,Community Engagement ,4347,0,Photo,0.0,Sunday,14
2023-03-26 13:52:00,DOTA2,Twitter,N/A ,12015,526,Photo,0.043778610070744906,Sunday,13
2023-03-26 13:46:00,General,Instagram,Community Engagement ,4630,0,Video,0.0,Sunday,13
2023-03-26 12:30:00,General,Facebook,Community Engagement ,42175,11988,Photo,0.28424422050978065,Sunday,12
2023-03-26 12:30:00,General,Facebook,Community Engagement ,21088,5994,Photo,0.28423748103186647,Sunday,12
2023-03-26 12:30:00,General,Facebook,Community Engagement ,21088,5994,Photo,0.28423748103186647,Sunday,12
2023-03-26 12:30:00,DOTA2,Twitter,Community Engagement ,4722,637,Photo,0.13490046590427784,Sunday,12
2023-03-26 12:09:00,DOTA2,Twitter,N/A ,206,3,Text,0.014563106796116505,Sunday,12
2023-03-26 12:02:00,DOTA2,Twitter,N/A ,666,5,Text,0.0075075075075075074,Sunday,12
2023-03-26 12:01:00,DOTA2,Twitter,Community Engagement ,3723,161,Photo,0.043244695138329306,Sunday,12
2023-03-26 12:01:00,General,Facebook,Community Engagement ,41892,4219,Photo,0.10071135300296,Sunday,12
2023-03-26 12:00:00,General,Twitter,Community Engagement ,20912,378,Photo,0.01807574598316756,Sunday,12
2023-03-26 12:00:00,General,Instagram,Community Engagement ,17411,528,Carousel,0.03032565619435989,Sunday,12
2023-03-26 12:00:00,DOTA2,Twitter,Community Engagement ,999,23,Photo,0.023023023023023025,Sunday,12
2023-03-26 12:00:00,General,Facebook,Community Engagement ,16484,782,Photo,0.04743994176170832,Sunday,12
2023-03-26 11:00:00,General,Twitter,Community Engagement ,9539,82,Photo,0.008596288919173918,Sunday,11
2023-03-26 10:12:00,DOTA2,Twitter,Community Engagement ,1419,58,Photo,0.0408738548273432,Sunday,10
2023-03-26 10:12:00,General,Facebook,Community Engagement ,26659,1554,Photo,0.058291758880678196,Sunday,10
2023-03-26 10:00:00,General,Instagram,Community Engagement ,9547,321,Photo,0.03362312768408924,Sunday,10
2023-03-26 10:00:00,General,Twitter,Community Engagement ,11448,131,Photo,0.011443046820405312,Sunday,10
2023-03-26 09:29:00,General,Instagram,Community Engagement ,5825,0,Photo,0.0,Sunday,9
2023-03-26 09:04:00,General,Twitter,Community Engagement ,2773,27,Text,0.009736747205192933,Sunday,9
2023-03-26 07:58:00,DOTA2,Twitter,N/A ,465,15,Photo,0.03225806451612903,Sunday,7
2023-03-26 07:57:00,General,Facebook,N/A ,26074,3969,Photo,0.15222060289944006,Sunday,7
2023-03-26 07:47:00,General,Facebook,Community Engagement ,26074,3969,Photo,0.15222060289944006,Sunday,7
2023-03-26 07:47:00,General,Facebook,Community Engagement ,52147,7937,Photo,0.15220434540817304,Sunday,7
2023-03-26 07:47:00,DOTA2,Twitter,Community Engagement ,3371,176,Photo,0.052210026698309105,Sunday,7
2023-03-25 19:21:00,CSGO,Twitter,Community Engagement ,1015,15,Photo,0.014778325123152709,Saturday,19
2023-03-25 18:14:00,CSGO,Twitter,Community Engagement ,1310,10,Photo,0.007633587786259542,Saturday,18
2023-03-25 17:53:00,General,Twitter,Evil Exhibited ,14708,37,Photo,0.0025156377481642643,Saturday,17
2023-03-25 17:10:00,CSGO,Twitter,Community Engagement ,1986,28,Photo,0.014098690835850957,Saturday,17
2023-03-25 16:41:00,General,Twitter,Evil Exhibited ,17251,321,Video,0.018607616949742042,Saturday,16
2023-03-25 16:38:00,General,Twitter,Evil Exhibited ,14698,12,Photo,0.0008164376105592598,Saturday,16
2023-03-25 16:33:00,General,Twitter,Evil Exhibited ,13082,236,Video,0.018040055037456048,Saturday,16
2023-03-25 15:44:00,General,Twitter,Evil Exhibited ,22450,70,Photo,0.0031180400890868597,Saturday,15
2023-03-25 14:09:00,General,Twitter,Evil Exhibited ,8707,29,Photo,0.003330653497186172,Saturday,14
2023-03-25 13:12:00,General,Twitter,Evil Exhibited ,16491,91,Photo,0.005518161421381359,Saturday,13
2023-03-25 12:00:00,General,Twitter,Community Engagement ,9919,57,Photo,0.005746547030950701,Saturday,12
2023-03-25 11:00:00,General,Instagram,Community Engagement ,13290,276,Carousel,0.02076749435665914,Saturday,11
2023-03-25 11:00:00,General,Twitter,Community Engagement ,13271,479,Photo,0.03609373822620752,Saturday,11
2023-03-25 11:00:00,DOTA2,Twitter,Community Engagement ,1085,51,Photo,0.047004608294930875,Saturday,11
2023-03-25 11:00:00,General,Facebook,Community Engagement ,28898,1041,Photo,0.03602325420444322,Saturday,11
2023-03-25 10:13:00,General,Facebook,Community Engagement ,20993,1561,Photo,0.07435811937312438,Saturday,10
2023-03-25 10:09:00,DOTA2,Twitter,N/A ,978,16,Photo,0.016359918200409,Saturday,10
2023-03-25 10:07:00,General,Twitter,Community Engagement ,185,8,Text,0.043243243243243246,Saturday,10
2023-03-25 10:00:00,General,Instagram,Community Engagement ,9488,229,Photo,0.02413575042158516,Saturday,10
2023-03-25 10:00:00,General,Twitter,Community Engagement ,13774,134,Photo,0.009728473936401917,Saturday,10
2023-03-25 10:00:00,General,Facebook,Community Engagement ,19239,709,Photo,0.036852227246738395,Saturday,10
